"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
6,244387.205047603,7040000,5492475,15.171361450348,15.734910289502,12.406555675908,16.8725452591605,12.492352828953,14.9091678602718,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
7,255742.013483527,4120000,820627.5,13.6105497454629,15.1850768714057,12.4520927352983,16.5020061125361,12.5177832532522,13.5148945382879,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
8,589508.604800494,3900000,119435.85,11.6967567992243,14.9958792757821,13.2872291921787,16.2745968715881,13.0937882943632,11.6811700226856,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
9,840432.819348672,4160000,29828.55,10.264708391521,15.0068915836417,13.6418921071486,16.1265579698404,13.9830590483932,10.2612375156863,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
10,2202491.59687868,5310000,9286.665,9.28531537570282,14.9418040777467,14.6050906221626,15.0472189141005,14.9426797645542,9.2842961395464,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
11,3505298.02443929,6470000,14153.055,9.80420939464573,14.8934083781389,15.0693472934763,14.6582772807894,15.638156230176,9.80280417466763,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
12,2892623.99217856,5220000,41034.9,10.2358748849626,14.7104768084954,14.8765695511567,15.5157041069321,14.7529369663157,10.233263364272,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
13,1970882.61986476,5100000,34461.3,10.4796902662805,15.0066156716298,14.4941152935081,16.0164133638733,13.8031114516918,10.4763107146967,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
14,2364419.34414877,7130000,31029,10.3230110472961,15.2932373281708,14.6772282543973,16.5559054420322,15.3312968085542,10.320758274895,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
15,1813265.36251899,5120000,8762.535,9.10198360835448,15.0428258189826,14.4102775928219,16.6163824649026,14.2524176382607,9.10112500887821,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
