"name","mouse","value","time"
"logW","A",18798752.7896453,19
"logN","A",1704577.19101666,19
"logE","GROUP",5002143.07147827,20
"logM","GROUP",93.8280733237898,20
"logN","GROUP",1705040.64771926,20
"logR","GROUP",869473.160320496,20
"logW","GROUP",16533164.2200144,20
"logM","C",37.3334517518528,20
"logE","C",4806804.88805941,20
"logR","C",892484.033582423,20
"logW","C",17158283.5356677,20
"logN","C",1705040.64770917,20
"logM","B",327.873505162128,20
"logE","B",4630203.31356707,20
"logR","B",766315.53193273,20
"logW","B",14083491.8199672,20
"logN","B",1705040.64776445,20
"logM","A",8.62141112498212,20
"logE","A",4965150.48848639,20
"logR","A",960341.490602975,20
"logW","A",18739984.1571688,20
"logN","A",1705040.64765547,20
